Product Name,Product Price,Category,Arabic name
Thobe,8,DRY CLEAN NORMAL,ثوب
Color Thobe,12,DRY CLEAN NORMAL,ثوب شتوي
Gutrah,6,DRY CLEAN NORMAL,غترة
Cap,2,DRY CLEAN NORMAL,كاب
Banian,4,DRY CLEAN NORMAL,فانيلا داخلية
Sarwal,4,DRY CLEAN NORMAL,سروال
Gutrah shall,7,DRY CLEAN NORMAL,غترة شال
Pyjama,8,DRY CLEAN NORMAL,بيجاما
T-Shirt,6,DRY CLEAN NORMAL,تي شيرت
Shirt,5,DRY CLEAN NORMAL,قميص
Pants,6,DRY CLEAN NORMAL,بنطلون
Military Suit,10,DRY CLEAN NORMAL,بدلة عسكرية
Jacket,15,DRY CLEAN NORMAL,جاكيت
Sweater,10,DRY CLEAN NORMAL,هودي
Coat,10,DRY CLEAN NORMAL,كوت
Man's Suit,20,DRY CLEAN NORMAL,بدلة رجالية
Over Coat,20,DRY CLEAN NORMAL,كوت طويل
Bisht,30,DRY CLEAN NORMAL,بشت
Abaya,15,DRY CLEAN NORMAL,عبايا
Bath Robe,10,DRY CLEAN NORMAL,روب الحمام
Blouse,6,DRY CLEAN NORMAL,بلوزة
Skirt,10,DRY CLEAN NORMAL,تنورة
Ladies Dress,20,DRY CLEAN NORMAL,فستان نسائي
Pillow,10,DRY CLEAN NORMAL,وسادة
Bed Sheet,10,DRY CLEAN NORMAL,شرشف
Pillow Cover,4,DRY CLEAN NORMAL,غطاء مخدة
Bed Spreard Cover,14,DRY CLEAN NORMAL,غطاء سرير
Blanket,25,DRY CLEAN NORMAL,بطانية
Faruva,40,DRY CLEAN NORMAL,
Towel,6,DRY CLEAN NORMAL,منشف
Carpet,12,DRY CLEAN NORMAL,سجادة
Curtain,N/A,DRY CLEAN NORMAL,ستائر
Socks (Pair),2,DRY CLEAN NORMAL,جرابات
Over Roll,12,DRY CLEAN NORMAL,بدلة عمل
Saree,10,DRY CLEAN NORMAL,ساري
Special dress,100,DRY CLEAN NORMAL,فستان خاص
Dress Pleated,60,DRY CLEAN NORMAL,فستان مكسر
Shawi,6,DRY CLEAN NORMAL,حجاب
Baby frock,10,DRY CLEAN NORMAL,فستان أطفال
Tie,3,DRY CLEAN NORMAL,ربطة عنق
School Uniform,10,DRY CLEAN NORMAL,مريول مدرسي

Thobe,12,DRY CLEAN URGENT,ثوب
Color Thobe,15,DRY CLEAN URGENT,ثوب شتوي
Gutrah,10,DRY CLEAN URGENT,غترة
Cap,4,DRY CLEAN URGENT,كاب
Banian,6,DRY CLEAN URGENT,فانيلا داخلية
Sarwal,6,DRY CLEAN URGENT,سروال
Gutrah shall,12,DRY CLEAN URGENT,غترة شال
Pyjama,12,DRY CLEAN URGENT,بيجاما
T-Shirt,10,DRY CLEAN URGENT,تي شيرت
Shirt,8,DRY CLEAN URGENT,قميص
Pants,10,DRY CLEAN URGENT,بنطلون
Military Suit,15,DRY CLEAN URGENT,بدلة عسكرية
Jacket,25,DRY CLEAN URGENT,جاكيت
Sweater,16,DRY CLEAN URGENT,هودي
Coat,15,DRY CLEAN URGENT,كوت
Man's Suit,30,DRY CLEAN URGENT,بدلة رجالية
Over Coat,35,DRY CLEAN URGENT,كوت طويل
Bisht,50,DRY CLEAN URGENT,بشت
Abaya,20,DRY CLEAN URGENT,عبايا
Bath Robe,15,DRY CLEAN URGENT,روب الحمام
Blouse,10,DRY CLEAN URGENT,بلوزة
Skirt,18,DRY CLEAN URGENT,تنورة
Ladies Dress,25,DRY CLEAN URGENT,فستان نسائي
Pillow,16,DRY CLEAN URGENT,وسادة
Bed Sheet,18,DRY CLEAN URGENT,شرشف
Pillow Cover,6,DRY CLEAN URGENT,غطاء مخدة
Bed Spreard Cover,20,DRY CLEAN URGENT,غطاء سرير
Blanket,40,DRY CLEAN URGENT,بطانية
Faruva,60,DRY CLEAN URGENT,
Towel,10,DRY CLEAN URGENT,منشف
Carpet,N/A,DRY CLEAN URGENT,سجادة
Curtain,30,DRY CLEAN URGENT,ستائر
Socks (Pair),3,DRY CLEAN URGENT,جرابات
Over Roll,20,DRY CLEAN URGENT,بدلة عمل
Saree,18,DRY CLEAN URGENT,ساري
Special dress,175,DRY CLEAN URGENT,فستان خاص
Dress Pleated,100,DRY CLEAN URGENT,فستان مكسر
Shawi,10,DRY CLEAN URGENT,حجاب
